,food_id,orig_food_common_name,orig_food_scientific_name,scientific_name,other
360,490,Spirulina,Spirulina spp. [Oscillatoriaceae],Spirulina spp.,[Oscillatoriaceae]
361,493,Strawberry Guava,Psidium cattleianum SABINE [Myrtaceae],Psidium cattleianum,SABINE [Myrtaceae]
362,496,Sugar-Apple,Annona squamosa L. [Annonaceae],Annona squamosa,L. [Annonaceae]
364,499,Taro,Colocasia esculenta (L.) SCHOTT [Araceae],Colocasia esculenta,(L.) SCHOTT [Araceae]
366,502,Tomatillo,Physalis ixocarpa BROT. [Solanaceae],Physalis ixocarpa,BROT. [Solanaceae]
367,503,Luffa,Luffa aegyptiaca MILLER [Cucurbitaceae],Luffa aegyptiaca,MILLER [Cucurbitaceae]
370,510,Waxgourd,Benincasa hispida (THUNB.) COGN. [Cucurbitaceae],Benincasa hispida,(THUNB.) COGN. [Cucurbitaceae]
371,518,Asparagus Pea,Psophocarpus tetragonolobus (L.) DC. [Fabaceae],Psophocarpus tetragonolobus,(L.) DC. [Fabaceae]
374,519,Wild Yam,Dioscorea sp. [Dioscoreaceae],Dioscorea sp.,[Dioscoreaceae]
375,520,Yambean,Pachyrhizus erosus RICH. ex DC. [Fabaceae],Pachyrhizus erosus,RICH. ex DC. [Fabaceae]
377,521,Malanga,Xanthosoma sagittifolium (L.) SCHOTT [Araceae],Xanthosoma sagittifolium,(L.) SCHOTT [Araceae]
379,534,Black-eyed Pea,Vigna unguiculata subsp. unguiculata [Fabaceae],Vigna unguiculata,subsp. unguiculata [Fabaceae]
381,536,Macadamia,Macadamia spp [Proteaceae],Macadamia spp,[Proteaceae]
382,553,Asparagus Bean,Vigna unguiculata subsp. sesquipedalis (L.) VERDC. [Fabaceae],Vigna unguiculata,subsp. sesquipedalis (L.) VERDC. [Fabaceae]
384,558,Brazillian Guava,Feijoa sellowiana BERG. [Myrtaceae],Feijoa sellowiana,BERG. [Myrtaceae]
385,800,Butterseed,Vitellaria paradoxa C. F. GAERTN. [Sapotaceae],Vitellaria paradoxa,C. F. GAERTN. [Sapotaceae]
386,802,Ucahuba,Virola surinamensis WARB. [Myristicaceae],Virola surinamensis,WARB. [Myristicaceae]
387,813,Nance,Byrsonima crassifolia HBK. [Malpighiaceae],Byrsonima crassifolia,HBK. [Malpighiaceae]
388,880,Garlic,Allium sativum var. sativum L. [Liliaceae],Allium sativum,var. sativum L. [Liliaceae]
393,881,Cabbage,Brassica oleracea var. capitata l. var. capitata L. [Brassicaceae],Brassica oleracea,var. capitata l. var. capitata L. [Brassicaceae]
631776,29,Canola,Brassica napus var. napus L. [Brassicaceae],Brassica napus,var. napus L. [Brassicaceae]
632039,35,Sarson,Brassica rapa L. [Brassicaceae],Brassica rapa,L. [Brassicaceae]
632048,36,Rapini,Brassica rapa var. rapa [Brassicaceae],Brassica rapa,var. rapa [Brassicaceae]
638050,73,Persimmon,Diospyros kaki L. [Ebenaceae],Diospyros kaki,L. [Ebenaceae]
640331,89,Hyssop,Hyssopus officinalis L. [Lamiaceae],Hyssopus officinalis,L. [Lamiaceae]
640499,90,Chinese Star Anise,Illicium verum HOOK. f. [Illiciaceae],Illicium verum,HOOK. f. [Illiciaceae]
641959,102,Oregano,Lippia graveolens HBK [Verbenaceae],Lippia graveolens,HBK [Verbenaceae]
642412,107,Annual Camomile,Matricaria recutita L. [Asteraceae],Matricaria recutita,L. [Asteraceae]
642646,109,Mint,Mentha sp [Lamiaceae],Mentha sp,[Lamiaceae]
642653,110,Water Mint,Mentha aquatica L. [Lamiaceae],Mentha aquatica,L. [Lamiaceae]
642760,112,Biblical Mint,Mentha longifolia (L.) HUDS. [Lamiaceae],Mentha longifolia,(L.) HUDS. [Lamiaceae]
642790,112,Biblical Mint|Hortela da Folha Miuda,Mentha longifolia (L.) HUDS. [Lamiaceae]|Mentha spicata L. [Lamiaceae],Mentha longifolia,(L.) HUDS. [Lamiaceae]|Mentha spicata L. [Lamiaceae]
644356,123,Oregano,Origanum onites L. [Lamiaceae],Origanum onites,L. [Lamiaceae]
647009,145,Cereza,Prunus avium [Rosaceae],Prunus avium,[Rosaceae]
649444,161,Cloudberry,Rubus chamaemorus L. [Rosaceae],Rubus chamaemorus,L. [Rosaceae]
650333,168,Savory,Satureja montana L. [Lamiaceae],Satureja montana,L. [Lamiaceae]
653691,196,Vervain,Verbena officinalis L. [Verbenaceae],Verbena officinalis,L. [Verbenaceae]
657393,391,Aceituna Dulce,Eugenia jambolana LAM. [Myrtaceae]|Syzygium cumini SKEELS [Myrtaceae],Eugenia jambolana,LAM. [Myrtaceae]|Syzygium cumini SKEELS [Myrtaceae]
658898,456,Rose Hips,Rosa spp [Rosaceae],Rosa spp,[Rosaceae]
659060,466,Salmonberry,Rubus spectabilis PURSH [Rosaceae],Rubus spectabilis,PURSH [Rosaceae]
659454,509,Japanese Horseradish,Wasabia japonica (MIQ.) MATSUM. [Brassicaceae],Wasabia japonica,(MIQ.) MATSUM. [Brassicaceae]
659940,562,Shiitake,Lentinus edodes [],Lentinus edodes,[]
665019,111,Cornmint,Mentha arvensis var. piperascens MALINV. EX L. H. BAILEY [Lamiaceae],Mentha arvensis,var. piperascens MALINV. EX L. H. BAILEY [Lamiaceae]
