,trnL_id,trnl_common_name,scientific_name
264,3410,bigleaf magnolia,Magnolia macrophylla
265,3412,sweetbay,Magnolia virginiana
266,54733,star magnolia,Magnolia stellata
267,111574,Puerto Rico magnolia,Magnolia portoricensis
268,111568,laurel magnolia,Magnolia splendens
269,93612,northern corn leaf blight,Exserohilum turcicum
270,318061,gulf sandmat,Euphorbia thymifolia
271,271748,gerongong,Cratoxylum arborescens
272,168825,Japanese artichoke,Stachys affinis
273,204215,hand-of-Mary,Vitex trifolia
274,34205,flag,Iris germanica
275,87088,mambi-bean,Vigna umbellata
276,105678,hei guo shan jiang,Alpinia nigra
277,70741,Arctic raspberry,Rubus arcticus
278,106553,Oregon crabapple,Malus fusca
279,205537,mamoncillo,Solanum caripense
280,205536,mata cucaracha,Solanum capsicoides
281,82423,broad-leaved lime,Tilia platyphyllos
282,193309,scarlet firethorn,Pyracantha coccinea
283,294377,Japanese photinia,Photinia glabra
284,3752,European crab apple,Malus sylvestris
285,97698,California black oak,Quercus kelloggii
286,67830,interior live oak,Quercus wislizeni
287,267247,swamp rose,Rosa palustris
288,267246,tea rose,Rosa odorata
289,106573,willow-leaf pear,Pyrus salicifolia
290,356590,wild pear,Pyrus pyraster
291,2907121,Mexican marigold,Tagetes lemmonii
292,316475,tachitsubo-sumire,Viola grypoceras
293,149353,yabu garashi,Causonis japonica
294,149359,kangaroo vine,Cissus antarctica
295,165299,climbing-begonia,Cissus discolor
296,165298,winged treebine,Cissus quadrangularis
297,393533,clustered blacksnakeroot,Sanicula odorata
298,2689076,chuang-xiong,Ligusticum chuanxiong
299,57648,shira-kashi,Quercus myrsinifolia
300,248839,Farrer's lampshade-poppy,Meconopsis integrifolia
301,82025,common hyacinth,Hyacinthus orientalis
302,3750,apple,Malus domestica
303,4702,Siberian squill,Scilla siberica
304,39552,Spanish dagger,Yucca treculeana
305,932103,slender rush,Juncus tenuis
306,223661,roundleaf rush,Juncus compressus
307,223656,toad rush,Juncus bufonius
308,63678,tower rockcress,Turritis glabra
309,74632,French rose,Rosa gallica
310,74653,Macartny rose,Rosa bracteata
311,119236,Himalayan musk rose,Rosa brunonii
312,74646,musk rose,Rosa moschata
313,57935,cinnamon rose,Rosa majalis
314,55464,European frog's-bit,Hydrocharis morsus-ranae
315,3806,camel's foot tree,Bauhinia purpurea
316,3795,alumroot,Heuchera micrantha
317,28514,tree germander,Teucrium fruticans
318,267265,Dutch eggplant,Solanum aculeatissimum
319,150409,Japanese lilac,Syringa villosa
320,108594,ling xiao,Campsis grandiflora
321,46980,American liverleaf,Hepatica americana
322,174164,wu gong san qi,Anemone flaccida
323,312531,bai hua qian hu,Kitagawia praeruptora
324,329675,winter daphne,Daphne odora
325,81913,tu si,Cuscuta japonica
326,51089,nutmeg,Myristica fragrans
327,227242,Chinese taro,Alocasia cucullata
328,139772,candleberry-tree,Triadica sebifera
329,260143,Java-apple,Syzygium samarangense
330,371028,mile-a-minute vine,Persicaria perfoliata
331,75079,black raspberry,Rubus occidentalis
332,183268,flower-of-an-hour,Hibiscus trionum
333,176136,trailing raspberry,Rubus parvifolius
334,174648,mealy kudzu,Pueraria montana
335,296035,ye xia zhu,Phyllanthus urinaria
336,197796,Asian plantain,Plantago asiatica
337,57926,silverweed cinquefoil,Potentilla anserina
338,3704,horseradish,Armoracia rusticana
339,3621,garden rhubarb,Rheum rhabarbarum
340,174190,fancy-leaf caladium,Caladium bicolor
341,58425,aridoshi,Damnacanthus indicus
342,53588,cup-plant,Silphium perfoliatum
343,3884,lima bean,Phaseolus lunatus
344,89656,bay hops,Ipomoea pes-caprae
345,35725,charcoal rot,Macrophomina phaseolina
346,483693,Indian elecampane,Inula racemosa
347,56187,shaggy mane,Coprinus comatus
348,63779,garden balsam,Impatiens balsamina
349,382117,mescal de maguey,Agave angustifolia
350,442491,sisal,Agave sisalana
351,52824,Ethiopian mustard,Brassica carinata
352,85681,clementine,Citrus clementina
353,71365,tall rocket,Sisymbrium altissimum
354,488216,Japanese knotweed,Reynoutria japonica
355,13579,common rush,Juncus effusus
356,270105,Chinese lovegrass,Eragrostis unioloides
357,208267,Japanese lovegrass,Eragrostis tenella
358,48734,stink grass,Eragrostis cilianensis
359,66380,kozo,Broussonetia kazinoki
360,106130,Thai rosewood,Dalbergia cochinchinensis
361,349989,tortured willow,Salix matsudana
362,140651,madden cherry,Prunus hypoleuca
363,194251,breadfruit,Artocarpus altilis
364,43861,golden-apple,Spondias dulcis
365,416196,Australian finger-lime,Citrus australasica
366,213591,f'ai taemanu,Musa banksii
367,133197,Japanese fiber banana,Musa basjoo
368,228181,fuzzy pink banana,Musa velutina
369,693372,spiny oleaster,Elaeagnus pungens
370,3116,hollow green seaweed,Ulva intestinalis
371,2889,Atlantic wakame,Alaria esculenta
372,145780,Virginia wild rye,Elymus virginicus
373,62615,stylo,Stylosanthes guianensis
374,137220,yao yong da huang,Rheum officinale
375,179355,Findlay's orchid,Dendrobium findlayanum
376,66386,creeping fig,Ficus pumila
377,4300,Perny's holly,Ilex pernyi
378,99817,pencil pine,Athrotaxis cupressoides
379,37645,figleaf gourd,Cucurbita ficifolia
380,3813,silk tree,Albizia julibrissin
381,29892,ear fungus,Auricularia auricula-judae
382,99038,crown daisy,Glebionis coronaria
383,318062,asthma-plant,Euphorbia hirta
384,48386,shiso-zoku,Perilla frutescens
385,167917,golden dewdrops,Duranta erecta
386,4545,Kentucky bluegrass,Poa pratensis
387,132429,yabumame,Amphicarpaea edgeworthii
388,115715,hog-peanut,Vigna subterranea
389,709982,Chinese flowering crabapple,Malus spectabilis
390,138334,ramp,Allium tricoccum
391,74900,chive,Allium schoenoprasum
392,192627,kikuyugrass,Cenchrus flaccidus
393,4419,American white water-lily,Nymphaea odorata
394,126639,pygmy water-lily,Nymphaea tetragona
395,210225,pocket water lily,Nymphaea colorata
396,99808,sawara,Chamaecyparis pisifera
397,39984,Burma mangrove,Bruguiera gymnorhiza
398,200947,shamrock pea,Parochetus communis
399,3891,winged bean,Psophocarpus tetragonolobus
400,53893,sericea lespedeza,Lespedeza cuneata
401,471941,running-postman,Kennedia prostrata
402,53885,coral-pea,Hardenbergia violacea
403,49817,cry-baby tree,Erythrina crista-galli
404,3490,cempedak,Artocarpus integer
405,171944,Nepal mango,Mangifera sylvatica
406,3926,apple-leaf,Philenoptera violacea
407,55444,sago-pondweed,Stuckenia pectinata
408,361442,Chinese chastetree,Vitex negundo
409,64575,Borneo camphor,Dryobalanops aromatica
410,43073,tobira,Pittosporum tobira
411,237933,gamazumi,Viburnum dilatatum
412,206307,sesbania pea,Sesbania cannabina
413,75085,wine raspberry,Rubus phoenicolasius
414,520761,hamanigana,Ixeris repens
415,52822,milky pine,Alstonia scholaris
416,37690,trifoliate orange,Citrus trifoliata
417,3498,white mulberry,Morus alba
418,510735,shan zha,Crataegus pinnatifida
419,292385,karite-nu,Vitellaria paradoxa
420,4673,Japanese yam,Dioscorea japonica
421,4513,barley,Hordeum vulgare
422,4090,tree tobacco,Nicotiana glauca
423,4089,Debney's tobacco,Nicotiana debneyi
424,248837,prickly blue-poppy,Meconopsis horridula
425,59495,kala hinsalu,Rubus niveus
426,59492,yellow raspberry,Rubus ellipticus
427,4511,finger millet,Eleusine coracana
428,4297,yaupon,Ilex vomitoria
429,83906,ramie,Boehmeria nivea
430,106546,mu gua,Chaenomeles speciosa
431,66169,Chinese plum yew,Cephalotaxus fortunei
432,320322,fei banana,Musa troglodytarum
433,3710,black mustard,Brassica nigra
434,3905,bird vetch,Vicia cracca
435,1370058,shellbark hickory,Carya laciniosa
436,167337,vetivergrass,Chrysopogon zizanioides
437,102211,wax gourd,Benincasa hispida
438,175755,titan arum,Amorphophallus titanum
439,89636,Chinese water-spinach,Ipomoea aquatica
440,285592,Missouri River willow,Salix eriocephala
441,290840,velvet maple,Acer velutinum
442,75745,silver maple,Acer saccharinum
443,66214,striped maple,Acer pensylvanicum
444,66211,big-leaf maple,Acer macrophyllum
445,47966,full-moon maple,Acer japonicum
446,291206,bigtooth maple,Acer grandidentatum
447,66208,hawthorn maple,Acer crataegifolium
448,66207,vine maple,Acer circinatum
449,66205,hedge maple,Acer campestre
450,53211,kurogane-mochi,Ilex rotunda
451,79772,pigeon's-grass,Verbena officinalis
452,68875,bluewings,Torenia fournieri
453,555706,searocket,Cakile lanceolata
454,349956,American sea rocket,Cakile edentula
455,226284,artillery-plant,Pilea microphylla
456,269719,smokebush,Cotinus coggygria
457,3442,Japanese goldthread,Coptis japonica
458,35936,hyacinth bean,Lablab purpureus
459,328098,spiny holly mangrove,Acanthus ilicifolius
460,241844,mangrove trumpet-tree,Dolichandrone spathacea
461,190802,cat's-whiskers,Gynandropsis gynandra
462,53861,crown-vetch,Securigera varia
463,151433,European dwarf cherry,Prunus fruticosa
464,151431,desert almond,Prunus fasciculata
