,USDA_id,usda_common_name,scientific_name
11640,CRSU6,Sutherland hawthorn,Crataegus sutherlandensis
11641,CRSU7,scented croton,Croton suaveolens
11642,CRTA2,keystone hawthorn,Crataegus tanuphylla
11643,CRTE2,Texas hawthorn,Crataegus texana
11644,CRTE3,narrowleaf hawksbeard,Crepis tectorum
11645,CRTE4,Texas croton,Croton texensis
11646,CRTE5,pick me nots,Cryptantha texana
11647,CRTE6,narrow helmet orchid,Cranichis tenuis
11648,CRTE8,canyon cryptantha,Cryptantha tenuis
11651,CRTH,calcareous cryptantha,Cryptantha thyrsiflora
11652,CRTH3,Thompson's cryptantha,Cryptantha thompsonii
11653,CRTH4,graceful hawthorn,Crataegus thermopegaea
11654,CRTI,moss pygmyweed,Crassula tillaea
11655,CRTI2,dyed hawthorn,Crataegus tinctoria
11656,CRTI3,purging croton,Croton tiglium
11657,CRTO4,Torrey's cryptantha,Cryptantha torreyana
11658,CRTO8,woodland crocus,Crocus tommasinianus
11659,CRTR,Tracy's hawthorn,Crataegus tracyi
11660,CRTR12,West Indian rattlebox,Crotalaria trichotoma
11661,CRTR2,threeflower hawthorn,Crataegus triflora
11662,CRTR4,minute hawthorn,Crataegus tristis
11663,CRTR5,spreading alkaliweed,Cressa truxillensis
11664,CRTR7,Trask's cryptantha,Cryptantha traskiae
11665,CRTR8,roadside croton,Croton trinitatis
11666,CRTU,New York Mountain cryptantha,Cryptantha tumulosa
11667,CRTU2,Turner's hawthorn,Crataegus turnerorum
11668,CRUCI,crucianella,Crucianella L.
11669,CRUCI2,bedstraw,Cruciata Mill.
11670,CRUMI,crumia moss,Crumia Schof.
11671,CRUN,dwarf hawthorn,Crataegus uniflora
11672,CRUPI,crupina,Crupina (Pers.)
11673,CRUSE,mountain saucerflower,Crusea Cham.
11674,CRUT,scented cryptantha,Cryptantha utahensis
11675,CRUV,lonestar hawthorn,Crataegus uvaldensis
11676,CRVA,Miss Vail's hawthorn,Crataegus vailiae
11677,CRVA2,modest prickle grass,Crypsis vaginiflora
11678,CRVA3,Rockmart hawthorn,Crataegus valida
11679,CRVE11,Johnny Reb hawthorn,Crataegus versuta
11680,CRVE3,beaked hawksbeard,Crepis vesicaria
11681,CRVE4,dutch crocus,Crocus vernus
11682,CRVE5,blue rattlesnake,Crotalaria verrucosa
11684,CRVI,sawtooth hawthorn,Crataegus viburnifolia
11685,CRVI13,rattlebox,Crotalaria vitellina
11686,CRVI14,thicket rattlebox,Crotalaria virgulata
11687,CRVI2,green hawthorn,Crataegus viridis
11688,CRVI4,miner's candle,Cryptantha virgata
11689,CRVI5,Virgin River cryptantha,Cryptantha virginensis
11690,CRVI6,pricklyseed pygmyweed,Crassula viridis
11694,CRVU,Alabama hawthorn,Crataegus vulsa
11695,CRVU2,common crupina,Crupina vulgaris
11698,CRWA,Warner's hawthorn,Crataegus warneri
11699,CRWA2,Watson's cryptantha,Cryptantha watsonii
11700,CRWA4,water-trumpet,Cryptocoryne walkeri
11701,CRWE,hawthorn,Crataegus ×websteri
11702,CRWE2,Weber's cryptantha,Cryptantha weberi
11703,CRWE3,Wetherill's cryptantha,Cryptantha wetherillii
11704,CRWE4,Wendt's water trumpet,Cryptocoryne wendtii
11705,CRWE5,Welsh's cryptantha,Cryptantha welshii
11706,CRWH,hawthorn,Crataegus ×whittakeri
11707,CRWI2,Wiggins' croton,Croton wigginsii
11708,CRWI3,Williams' hawthorn,Crataegus williamsii
11709,CRWI7,Wiggins' cryptantha,Cryptantha wigginsii
11710,CRWO,Wooton's hawthorn,Crataegus wootoniana
11711,CRXA,buffalo hawthorn,Crataegus xanthophylla
11712,CRYPH,cryphaea moss,Cryphaea F.
11713,CRYPS,pricklegrass,Crypsis Aiton
11714,CRYPT,cryptantha,Cryptantha Lehm.
11715,CRYPT11,cryptolechia lichen,Cryptolechia A.
11716,CRYPT12,cryptothele lichen,Cryptothele Th.
11717,CRYPT2,cryptocarya,Cryptocarya R.
11718,CRYPT3,rockbrake,Cryptogramma R.
11719,CRYPT4,Japanese cedar,Cryptomeria D.
11720,CRYPT5,honewort,Cryptotaenia DC.
11721,CRYPT6,rubbervine,Cryptostegia R.
11722,CRYPT7,water trumpet,Cryptocoryne Fisch.
11723,CRZA2,striped hawksbeard,Crepis zacintha
11724,CRZE,Ceylon swamplily,Crinum zeylanicum
11725,CTAR,toothache grass,Ctenium aromaticum
11726,CTBL2,comb fern,Ctenopterella blechnoides
11727,CTCE,ctenolepis,Ctenolepis cerasiformis
11728,CTENI,toothache grass,Ctenium Panzer
11729,CTENI2,lacefern,Ctenitis (C.
11730,CTENI3,ctenidium moss,Ctenidium (Schimp.)
11731,CTENO,ctenolepis,Ctenolepis Benth.
11732,CTFL,Florida orangegrass,Ctenium floridanum
11733,CTHI,diamondleaf lacefern,Ctenitis hirta
11736,CTHO,Honolulu lacefern,Ctenitis honolulensis
11737,CTLA,delicate lacefern,Ctenitis latifrons
11738,CTMA,ctenidium moss,Ctenidium malacodes
11739,CTMO,mollusc ctenidium moss,Ctenidium molluscum
11740,CTNE,eggleaf lacefern,Ctenitis nemorosa
11741,CTSC,Schofield's ctenidium moss,Ctenidium schofieldii
11742,CTSL,Florida lacefern,Ctenitis sloanei
11743,CTSQ,Pacific lacefern,Ctenitis squamigera
11744,CTSU2,brownhair lacefern,Ctenitis submarginalis
11745,CUAM,wild ackee,Cupania americana
11746,CUAM3,American dodder,Cuscuta americana
11747,CUAM4,mango ginger,Curcuma amada
11748,CUAM5,American scurfpea,Cullen americanum
11749,CUAN,West Indian gherkin,Cucumis anguria
11750,CUAN2,East Indian arrowroot,Curcuma angustifolia
11751,CUAN4,carrotwood,Cupaniopsis anacardioides
11754,CUAP,Gila River dodder,Cuscuta applanata
11755,CUAP2,alfalfa dodder,Cuscuta approximata
11756,CUAR3,curcuma,Curcuma aromatica
11757,CUAS,tropical waxweed,Cuphea aspera
11758,CUAT,tapertip dodder,Cuscuta attenuata
11759,CUBO,Boldingh's dodder,Cuscuta boldinghii
11760,CUBR,San Joaquin dodder,Cuscuta brachycalyx
11763,CUCA,chaparral dodder,Cuscuta californica
11764,CUCA3,palm-grass,Curculigo capitulata
11765,CUCA4,Colombian waxweed,Cuphea carthagenensis
11766,CUCA5,African dodder,Cuscuta cassytoides
11767,CUCA8,Kashmir cypress,Cupressus cashmeriana
11772,CUCE,buttonbush dodder,Cuscuta cephalanthi
11773,CUCE2,canyon dodder,Cuscuta ceanothi
11774,CUCO2,compact dodder,Cuscuta compacta
11775,CUCO3,hazel dodder,Cuscuta coryli
11776,CUCO7,Malaysian scurfpea,Cullen corylifolia
11779,CUCU2,cusp dodder,Cuscuta cuspidata
11780,CUCUM,melon,Cucumis L.
11781,CUCUM2,cucumeropsis,Cucumeropsis Naudin
11782,CUCUR,gourd,Cucurbita L.
11783,CUCY,cumin,Cuminum cyminum
11784,CUDE,Trans-Pecos dodder,Cuscuta decipiens
11785,CUDE2,desert dodder,Cuscuta denticulata
11786,CUDE3,los pinitos dodder,Cuscuta dentatasquamata
11788,CUDI,fingerleaf gourd,Cucurbita digitata
11789,CUDI2,hedgehog gourd,Cucumis dipsaceus
11790,CUDO3,alkali cusickiella,Cusickiella douglasii
11791,CUDRA,cudrania,Cudrania Trécul
11792,CUEP,clover dodder,Cuscuta epithymum
11793,CUEP2,flax dodder,Cuscuta epilinum
11794,CUER,Sonoran dodder,Cuscuta erosa
11795,CUEU,greater dodder,Cuscuta europaea
11796,CUEX,tall dodder,Cuscuta exaltata
11797,CUFA,clustered dodder,Cuscuta fasciculata
11798,CUFI,cucumis,Cucumis ficifolius
11799,CUFI2,figleaf gourd,Cucurbita ficifolia
11800,CUFO,Missouri gourd,Cucurbita foetidissima
11801,CUFU2,mourning-cypress,Cupressus funebris
11802,CUGL,Florida toadwood,Cupania glabra
11803,CUGL3,rope dodder,Cuscuta glomerata
11804,CUGL4,sticky waxweed,Cuphea glutinosa
11805,CUGL5,West Indian dodder,Cuscuta globulosa
11806,CUGR,scaldweed,Cuscuta gronovii
11809,CUHA,Harper's dodder,Cuscuta harperi
11810,CUHO,Boggs Lake dodder,Cuscuta howelliana
11811,CUHY,false heather,Cuphea hyssopifolia
11812,CUIG,cigar flower,Cuphea ignea
11813,CUIN,bigseed alfalfa dodder,Cuscuta indecora
11818,CUJA,Japanese dodder,Cuscuta japonica
11819,CULA,Chinese fir,Cunninghamia lanceolata
11820,CULE,slender dodder,Cuscuta leptantha
11821,CULLE,scurfpea,Cullen Medik.
11822,CULO,common turmeric,Curcuma longa
11823,CUMA3,winter squash,Cucurbita maxima
11824,CUMA5,Mann's cucumeropsis,Cucumeropsis mannii
11826,CUME,cantaloupe,Cucumis melo
11827,CUME2,Memphisgrass,Cutandia memphitica
11828,CUME3,African horned cucumber,Cucumis metuliferus
11829,CUME4,bigfruit dodder,Cuscuta megalocarpa
11830,CUMI,tinypetal waxweed,Cuphea micrantha
11831,CUMI2,Cochise dodder,Cuscuta mitriformis
11832,CUMI3,pumpkin,Cucurbita mixta
11833,CUMIN,cumin,Cuminum L.
11834,CUMO,crookneck squash,Cucurbita moschata
11836,CUMY,gooseberry gourd,Cucumis myriocarpus
11837,CUNIL,cunila,Cunila D.
11838,CUNNI,cunninghamia,Cunninghamia R.
11839,CUOB,Peruvian dodder,Cuscuta obtusiflora
11841,CUOD,Santa Rita Mountain dodder,Cuscuta odontolepis
11842,CUOK,Okeechobee gourd,Cucurbita okeechobeensis
11843,CUOR,common dittany,Cunila origanoides
11844,CUOR3,golden eye-grass,Curculigo orchioides
11845,CUPA,coyote gourd,Cucurbita palmata
11846,CUPA2,island waxweed,Cuphea parsonsia
11847,CUPAN,cupania,Cupania L.
11848,CUPAN2,carrotwood,Cupaniopsis Radlk.
11849,CUPE,field pumpkin,Cucurbita pepo
11850,CUPE3,fiveangled dodder,Cuscuta pentagona
11859,CUPHE,waxweed,Cuphea P.
11860,CUPL,prairie dodder,Cuscuta plattensis
11861,CUPO,smartweed dodder,Cuscuta polygonorum
11862,CUPO2,globe dodder,Cuscuta potosina
11864,CUPR,creeping waxweed,Cuphea procumbens
11865,CUPR2,cucumis,Cucumis prophetarum
11866,CUPRE,cypress,Cupressus L.
11867,CUQU,Bodie Hills cusickiella,Cusickiella quadricostata
11868,CURCU,curcuma,Curcuma L.
11869,CURCU2,curculigo,Curculigo Gaertn.
11870,CURE,giant dodder,Cuscuta reflexa
11871,CURO,beaked dodder,Cuscuta rostrata
11872,CURU,Runyon's dodder,Cuscuta runyonii
11873,CUSA,saltmarsh dodder,Cuscuta salina
11874,CUSA2,kauna'oa,Cuscuta sandwichiana
11875,CUSA4,garden cucumber,Cucumis sativus
11879,CUSC,gorgojo,Curculigo scorzonerifolia
11880,CUSCU,dodder,Cuscuta L.
11881,CUSE2,Italian cypress,Cupressus sempervirens
11882,CUSIC,cusickiella,Cusickiella Rollins
11883,CUSQ,scaleflower dodder,Cuscuta squamata
11884,CUST4,stiffhair waxweed,Cuphea strigulosa
11885,CUSU,fringed dodder,Cuscuta suaveolens
11886,CUSU3,mountain dodder,Cuscuta suksdorfii
11889,CUTAN,Memphisgrass,Cutandia Willk.
11890,CUTO2,Himalayan cypress,Cupressus torulosa
11891,CUTR,guara blanca,Cupania triquetra
11892,CUTR2,storehousebush,Cudrania tricuspidata
11893,CUTU,tubercle dodder,Cuscuta tuberculata
11894,CUUM,flatglobe dodder,Cuscuta umbellata
11895,CUVE2,Veatch's dodder,Cuscuta veatchii
11896,CUVI,blue waxweed,Cuphea viscosissima
11897,CUWA2,Warner's dodder,Cuscuta warneri
11898,CUWR,Wright's waxweed,Cuphea wrightii
11899,CUZE,zedoary,Curcuma zedoaria
11900,CYAB,Indian springparsley,Cymopterus aboriginum
11901,CYAB2,Peach Springs canyon cholla,Cylindropuntia abysii
11902,CYAC,plains springparsley,Cymopterus acaulis
11903,CYAC2,tapertip flatsedge,Cyperus acuminatus
11904,CYAC3,moccasin flower,Cypripedium acaule
11905,CYAC4,Haleakala cyanea,Cyanea aculeatiflora
11906,CYAC5,Honolulu cyanea,Cyanea acuminata
11907,CYAC7,cymophora,Cymophora accedens
11908,CYAC8,buck-horn cholla,Cylindropuntia acanthocarpa
11918,CYAE,guard withe,Cydista aequinoctialis
11919,CYAE2,Ethiopian dogstooth grass,Cynodon aethiopicus
11920,CYAG,inflatedscale flatsedge,Cyperus aggregatus
