,USDA_id,usda_common_name,scientific_name
22949,LELE2,catchfly grass,Leersia lenticularis
22950,LELE26,Pryor Mountains bladderpod,Lesquerella lesicii
22951,LELE29,Lemmon's linanthus,Leptosiphon lemmonii
22952,LELE3,lion's ear,Leonotis leonurus
22953,LELE5,prairie lespedeza,Lespedeza leptostachya
22954,LELE7,Sierra lessingia,Lessingia leptoclada
22955,LELE8,quill-leaf lewisia,Lewisia leeana
22956,LELE9,Lescur's bladderpod,Lesquerella lescurii
22962,LELI,false Venus' looking glass,Legenere limosa
22963,LELI14,narrowflower flaxflower,Leptosiphon liniflorus
22964,LELI2,Lindheimer's bladderpod,Lesquerella lindheimeri
22965,LELI5,rim lichen,Lecanora lividolutea
22966,LELI6,lecidea lichen,Lecidea limosa
22967,LELI60,skin lichen,Leptogium lichenoides
22968,LELI7,rockloving lecidea lichen,Lecidea lithophila
22969,LELLI,lellingeria,Lellingeria A.R.
22970,LELO,lespedeza,Lespedeza ×longifolia
22971,LELO2,Truckee lewisia,Lewisia longipetala
22972,LELO4,Louisiana rim lichen,Lecanora louisianae
22973,LELO5,Louisiana lecidea lichen,Lecidea louisianae
22974,LELO6,dust lichen,Lepraria lobificans
22975,LELU,foothill bladderpod,Lesquerella ludoviciana
22976,LELU2,rim lichen,Lecanora luteovernalis
22977,LELU3,lecidea lichen,Lecidea lurida
22978,LELY,lyreleaf bladderpod,Lesquerella lyrata
22979,LELY3,Lynge's lecidea lichen,Lecidea lyngei
22980,LELY6,Seeman's sunbonnets,Leibnitzia lyrata
22981,LEMA,beach pinweed,Lechea maritima
22982,LEMA10,rim lichen,Lecanora maxima
22983,LEMA12,lecidea lichen,Lecidea mammillana
22984,LEMA13,Mann's lecidea lichen,Lecidea mannii
22985,LEMA14,lecidea lichen,Lecidea marciensis
22986,LEMA15,Maryland lecidea lichen,Lecidea marylandensis
22987,LEMA16,skin lichen,Leptogium marginellum
22988,LEMA3,Maguire's lewisia,Lewisia maguirei
22989,LEMA4,largefruit bladderpod,Lesquerella macrocarpa
22990,LEMA5,bladderpod,Lesquerella ×maxima
22991,LEMA6,lespedeza,Lespedeza ×manniana
22992,LEMA7,whitewort,Leucas martinicensis
22993,LEMA8,max chrysanthemum,Leucanthemum maximum
22994,LEMA9,rim lichen,Lecanora marginata
22997,LEMC,McVaugh's bladderpod,Lesquerella mcvaughiana
22998,LEME,tiny orchid,Lepanthopsis melanantha
22999,LEME11,lecidea lichen,Lecidea melaphanoides
23000,LEME12,Merrill's lecidea lichen,Lecidea merrillii
23001,LEME13,leproloma lichen,Leproloma membranaceum
23002,LEME19,maca,Lepidium meyenii
23003,LEME2,Chisos Mountain pinweed,Lechea mensalis
23004,LEME7,rim lichen,Lecanora melaena
23005,LEME8,rim lichen,Lecanora mellea
23006,LEME9,rim lichen,Lecanora meridionalis
23007,LEMI,thymeleaf pinweed,Lechea minor
23008,LEMI13,rim lichen,Lecanora microbola
23009,LEMI14,rim lichen,Lecanora microfusca
23010,LEMI15,rim lichen,Lecanora miculata
23011,LEMI16,rim lichen,Lecanora minutella
23012,LEMI17,lecidea lichen,Lecidea micytho
23013,LEMI18,mealy lichen,Leprocaulon microscopicum
23014,LEMI19,skin lichen,Leptogium microstictum
23015,LEMI20,skin lichen,Leptogium milligranum
23016,LEMI25,lecythis,Lecythis minor
23017,LEMI29,true babystars,Leptosiphon minimus
23018,LEMI3,common duckweed,Lemna minor
23019,LEMI4,Big Bend barometerbush,Leucophyllum minus
23020,LEMI5,Mt. Tamalpais lessingia,Lessingia micradenia
23021,LEMI6,least duckweed,Lemna minuta
23024,LEMNA,duckweed,Lemna L.
23025,LEMO,bunch cutgrass,Leersia monandra
23026,LEMO10,Morelii's lecidea lichen,Lecidea moreliiensis
23027,LEMO19,mustang clover,Leptosiphon montanus
23028,LEMO2,mountain pepperweed,Lepidium montanum
23029,LEMO20,large-leaf yellow teatree,Leptospermum morrisonii
23030,LEMO3,mountain bladderpod,Lesquerella montana
23031,LEMO4,common starlily,Leucocrinum montanum
23032,LEMO5,Key thatch palm,Leucothrinax morrisii
23033,LEMO8,American dunegrass,Leymus mollis
23034,LEMO9,rim lichen,Lecanora monticola
23049,LEMPH,lempholemma lichen,Lempholemma Körb.
23050,LEMU,narrowleaf paleseed,Leucospora multifida
23051,LEMU11,manystem wildrye,Leymus multicaulis
23052,LEMU13,Mueller's hawkbit,Leontodon muelleri
23053,LEMU14,narrowtip lepisorus,Lepisorus mucronatus
23054,LEMU2,manyhead bladderpod,Lesquerella multiceps
23055,LEMU3,hairy pinweed,Lechea mucronata
23056,LEMU4,wildrye,Leymus ×multiflorus
23057,LEMU6,rim lichen,Lecanora mughicola
23058,LEMU60,rim lichen,Lecanora muralis
23059,LEMU7,lecidea lichen,Lecidea mutabilis
23061,LEMY2,lecidea lichen,Lecidea myriocarpella
23062,LEMY6,mouseear lellingeria,Lellingeria myosuroides
23063,LEMY7,heath teatree,Leptospermum myrsinoides
23064,LENA,dwarf lessingia,Lessingia nana
23065,LENA2,dwarf pepperweed,Lepidium nanum
23066,LENA3,dwarf chamaesaracha,Leucophysalis nana
23067,LENA8,Navajo bladderpod,Lesquerella navajoensis
23068,LENE,Christmas candlestick,Leonotis nepetifolia
23069,LENE12,Nearing's lecidea lichen,Lecidea nearingii
23070,LENE13,lecidea lichen,Lecidea nemoralis
23071,LENE14,dust lichen,Lepraria neglecta
23072,LENE15,leskeella,Leskeella nervosa
23073,LENE2,Nealley's sprangletop,Leptochloa nealleyi
23074,LENE3,slenderstem lessingia,Lessingia nemaclada
23075,LENE5,Nevada lewisia,Lewisia nevadensis
23076,LENE8,lespedeza,Lespedeza ×neglecta
23077,LENE9,rim lichen,Lecanora neoalbomarginata
23081,LENI,shining pepperweed,Lepidium nitidum
23082,LENI4,darkmargin rim lichen,Lecanora nigromarginata
23086,LENO,Nordenskioeld's rim lichen,Lecanora nordenskioeldii
23087,LENO2,rim lichen,Lecanora novae-semliae
23088,LENO3,New Mexico rim lichen,Lecanora novomexicana
23089,LENOP,lenophyllum,Lenophyllum Rose
23090,LENS,lentil,Lens Mill.
23091,LENU,lespedeza,Lespedeza ×nuttallii
23092,LENU7,Tehachapi linanthus,Leptosiphon nudatus
23093,LENU8,Nuttall's linanthus,Leptosiphon nuttallii
23097,LENY,Nylander's lecania lichen,Lecania nylanderiana
23098,LENY2,Nylander's lecidea lichen,Lecidea nylanderi
23099,LEOB,veiny pepperweed,Lepidium oblongum
23100,LEOB13,Middle Butte bladderpod,Lesquerella obdeltata
23101,LEOB14,Sierra Nevada linanthus,Leptosiphon oblanceolatus
23102,LEOB2,little duckweed,Lemna obscura
23103,LEOB3,lespedeza,Lespedeza ×oblongifolia
23104,LEOB5,oblique lempholemma lichen,Lempholemma oblique-peltatum
23105,LEOB9,leskea moss,Leskea obscura
23108,LEOC,western bladderpod,Lesquerella occidentalis
23110,LEOCH,leochilus,Leochilus Kn.
23112,LEOF,garden lovage,Levisticum officinale
23113,LEOL,rim lichen,Lecanora olivaceopallida
23114,LEOL2,lecidea lichen,Lecidea olivascens
23115,LEOL5,lecythis,Lecythis ollaria
23116,LEONO,lion's ear,Leonotis (Pers.)
23117,LEONT,hawkbit,Leontodon L.
23118,LEONU,motherwort,Leonurus L.
23119,LEOP,oppositeleaf lewisia,Lewisia oppositifolia
23120,LEOP2,rim lichen,Lecanora opiniconensis
23121,LEOPO,leopoldinia,Leopoldinia Mart.
23122,LEOR,rice cutgrass,Leersia oryzoides
23123,LEOR2,round pepperweed,Lepidium orbiculare
23124,LEOR4,rim lichen,Lecanora orae-frigidae
23125,LEOR5,rim lichen,Lecanora oreinoides
23126,LEOS,Ostler's pepperweed,Lepidium ostleri
23127,LEOV,roundleaf bladderpod,Lesquerella ovalifolia
23130,LEOX,forked pepperweed,Lepidium oxycarpum
23131,LEPA10,Piceance bladderpod,Lesquerella parviflora
23132,LEPA11,marsh Labrador tea,Ledum palustre
23133,LEPA12,Pacific wildrye,Leymus pacificus
23134,LEPA17,Idaho pepperweed,Lepidium papilliferum
23135,LEPA18,Pacific rim lichen,Lecanora pacifica
23136,LEPA19,Pacific lecidea lichen,Lecidea pacifica
23137,LEPA20,lecidea lichen,Lecidea paddensis
23138,LEPA23,lecidella lichen,Lecidella patavina
23139,LEPA24,skin lichen,Leptogium parculum
23140,LEPA25,birchbark dot lichen,Leptorhaphis parmeca
23141,LEPA26,letrouitia lichen,Letrouitia parabola
23142,LEPA3,Amazon sprangletop,Leptochloa panicoides
23143,LEPA39,coast beard-heath,Leucopogon parviflorus
23144,LEPA4,white bladderpod,Lesquerella pallida
23145,LEPA42,Payson's pepperweed,Lepidium paysonii
23146,LEPA48,bladder pod,Lesquerella palmeri
23147,LEPA50,Sierra linanthus,Leptosiphon pachyphyllus
23148,LEPA51,variable linanthus,Leptosiphon parviflorus
23149,LEPA6,mucronate sprangletop,Leptochloa panicea
23150,LEPA7,pygmy bladderpod,Lesquerella parvula
23151,LEPA8,Payson's bladderpod,Lesquerella paysonii
23155,LEPAN,babyboot orchid,Lepanthes Sw.
23156,LEPAN2,lepanthopsis,Lepanthopsis Ames
23157,LEPE,minute duckweed,Lemna perpusilla
23158,LEPE10,rim lichen,Lecanora permutata
23159,LEPE11,perplexed rim lichen,Lecanora perplexa
23160,LEPE12,rim lichen,Lecanora persimilis
23161,LEPE13,lecidea lichen,Lecidea peliaspis
23162,LEPE2,clasping pepperweed,Lepidium perfoliatum
23163,LEPE23,common teatree,Leptospermum petersonii
23164,LEPE24,Snake Range bladderpod,Lesquerella pendula
23165,LEPE3,Spring Creek bladderpod,Lesquerella perforata
23166,LEPE4,monkey's hand,Lepianthes peltata
23167,LEPE8,lecania lichen,Lecania pepegospora
23168,LEPE9,lecania lichen,Lecania perproxima
23169,LEPEC,pitchersage,Lepechinia Willd.
23170,LEPH,rim lichen,Lecanora phaeophora
23171,LEPH2,rim lichen,Lecanora phryganitis
23172,LEPH3,lecidea lichen,Lecidea phaeopelidna
23173,LEPH4,lecidea lichen,Lecidea phaeops
23174,LEPH5,skin lichen,Leptogium phyllocarpum
23175,LEPI,featherleaf pepperweed,Lepidium pinnatifidum
23176,LEPI11,para piassava,Leopoldinia piassaba
23177,LEPI15,hybrid ryegrass,×Leydeum piperi
23178,LEPI16,hairy corkwood,Leitneria pilosa
23179,LEPI2,tansy pepperweed,Lepidium pinnatisectum
23180,LEPI3,White Mountain bladderpod,Lesquerella pinetorum
23181,LEPI5,rim lichen,Lecanora pinguis
23182,LEPI6,rim lichen,Lecanora piniperda
23183,LEPI7,fir lecidea lichen,Lecidea picea
23184,LEPIA,lepianthes,Lepianthes Raf.
23185,LEPID,pepperweed,Lepidium L.
23186,LEPID2,broomsage,Lepidospartum (A.
23187,LEPID4,lepidopilum moss,Lepidopilum (Brid.)
23188,LEPIN2,lepiniopsis,Lepiniopsis Valeton
23191,LEPIS,lepisorus,Lepisorus (J.
23192,LEPL2,lecidea lichen,Lecidea plana
23193,LEPL3,lecidea lichen,Lecidea planetica
23194,LEPL4,lecidea lichen,Lecidea plebeja
23195,LEPL7,skin lichen,Leptogium platynum
23196,LEPL8,skin lichen,Leptogium plicatile
23197,LEPO,Malayan eyebright,Legazpia polygonoides
23198,LEPO10,lecidea lichen,Lecidea populina
23199,LEPO13,lepidopilum moss,Lepidopilum polytrichoides
23200,LEPO14,leskea moss,Leskea polycarpa
23201,LEPO15,lespedeza,Lespedeza potaninii
23202,LEPO22,common teatree,Leptospermum polygalifolim
23203,LEPO5,Polunin's rim lichen,Lecanora poluninii
23204,LEPO6,rim lichen,Lecanora polytropa
23205,LEPO7,rim lichen,Lecanora populicola
23206,LEPO8,northern lecidea lichen,Lecidea polaris
23207,LEPO9,lecidea lichen,Lecidea polycocca
23208,LEPR,trailing lespedeza,Lespedeza procumbens
23209,LEPR10,lecidea lichen,Lecidea promiscens
23210,LEPR11,lecidea lichen,Lecidea protabacina
23211,LEPR2,Pagosa Springs bladderpod,Lesquerella pruinosa
23212,LEPR3,low bladderpod,Lesquerella prostrata
23213,LEPR8,rim lichen,Lecanora praecrenata
23214,LEPR9,Pringle's rim lichen,Lecanora pringlei
23215,LEPRA,dust lichen,Lepraria Ach.
23216,LEPRO2,mealy lichen,Leprocaulon Nyl.
23217,LEPRO3,leproloma lichen,Leproloma Nyl.
23218,LEPS,rim lichen,Lecanora pseudistera
23219,LEPTA,leptarrhena,Leptarrhena R.
23220,LEPTO,sprangletop,Leptochloa P.
23221,LEPTO11,leptobryum moss,Leptobryum (Bruch
23222,LEPTO12,leptodonium moss,Leptodontium (Müll.
23223,LEPTO13,leptochidium lichen,Leptochidium M.
23224,LEPTO14,skin lichen,Leptogium (Ach.)
23225,LEPTO15,birchbark dot lichen,Leptorhaphis Körb.
23226,LEPTO16,leptodictyum moss,Leptodictyum (Schimp.)
23227,LEPTO17,leptodon moss,Leptodon D.
23228,LEPTO18,leptohymenium moss,Leptohymenium Schwägr.
23229,LEPTO19,leptopterigynandrum moss,Leptopterigynandrum Müll.
23230,LEPTO2,pricklyphlox,Leptodactylon Hook.
23231,LEPTO20,maidenbush,Leptopus Decne.
23232,LEPTO22,leptosiphon,Leptosiphon Benth.
23233,LEPTO4,teatree,Leptospermum J.R.
23234,LEPTO5,limestone grass,Leptochloopsis Yates
23235,LEPTO6,lanilla,Leptocoryphium Nees
23236,LEPTO7,leptocereus,Leptocereus (A.
23237,LEPTU,thintail,Lepturus R.
23238,LEPU10,lecidea lichen,Lecidea pulla
23239,LEPU11,lecidea lichen,Lecidea pumicicola
23240,LEPU13,lecidella lichen,Lecidella pulveracea
23241,LEPU15,beautiful bladderpod,Lesquerella pulchella
23242,LEPU2,rose bladderpod,Lesquerella purpurea
23243,LEPU3,great leadtree,Leucaena pulverulenta
23244,LEPU4,Leggett's pinweed,Lechea pulchella
23245,LEPU5,Puerto Rico smoothlip orchid,Leochilus puertoricensis
23246,LEPU60,rim lichen,Lecanora pulicaris
23249,LEPUR,lepuropetalon,Lepuropetalon Elliott
23250,LEPY,fireleaf leptarrhena,Leptarrhena pyrolifolia
23251,LEPY2,alpine lewisia,Lewisia pygmaea
23252,LEPY3,lecidea lichen,Lecidea pycnocarpa
23253,LEPY4,pygmy linanthus,Leptosiphon pygmaeus
23254,LEPY70,leptobryum moss,Leptobryum pyriforme
23257,LEPYR,false jagged-ckickweed,Lepyrodiclis Fenzl
23258,LEQU,pitahaya,Leptocereus quadricostatus
23259,LERA,Illinois pinweed,Lechea racemulosa
23260,LERA15,Rattan's linanthus,Leptosiphon rattanii
23261,LERA2,manybranched pepperweed,Lepidium ramosissimum
23262,LERA3,Sonoma lessingia,Lessingia ramulosa
23263,LERA5,mammoth wildrye,Leymus racemosus
23264,LERA60,lecidea lichen,Lecidea ramulosa
23265,LERA7,lempholemma lichen,Lempholemma radiatum
23273,LERE,Pacific Island thintail,Lepturus repens
23274,LERE10,Remy's pepperweed,Lepidium remyi
23275,LERE12,rim lichen,Lecanora reagens
23276,LERE2,creeping lespedeza,Lespedeza repens
23277,LERE4,gaslight bladderpod,Lesquerella recurvata
23278,LERE5,littleleaf leadtree,Leucaena retusa
23279,LERE7,bitter root,Lewisia rediviva
23282,LERI,lecidea lichen,Lecidea rivulorum
23283,LERI2,skin lichen,Leptogium rivale
23284,LERI3,skin lichen,Leptogium rivulare
23285,LERI6,streamside leptodictyum moss,Leptodictyum riparium
23286,LERO7,rose linanthus,Leptosiphon rosaceus
23287,LERO8,Ross' pitcher sage,Lepechinia rossii
23288,LERU,roadside pepperweed,Lepidium ruderale
23289,LERU10,rugose skin lichen,Leptogium rugosum
23290,LERU2,rock babyboot orchid,Lepanthes rupestris
23291,LERU4,tum bladderpod,Lesquerella rubicundula
23292,LERU5,forest babyboot orchid,Lepanthes rubripetala
23293,LERU6,rugose rim lichen,Lecanora rugosella
23294,LERU61,rim lichen,Lecanora rupicola
23295,LERU7,lecidea lichen,Lecidea rufofusca
23296,LERU8,rugose lecidea lichen,Lecidea rugosa
23297,LESA,San Saba pinweed,Lechea san-sabeana
23298,LESA10,Santa Monica lecidea lichen,Lecidea santae-monicae
23299,LESA14,lescuraea moss,Lescuraea saxicola
23300,LESA16,Safford's lellingeria,Lellingeria saffordii
23301,LESA17,Sacajawea bitter root,Lewisia sacajaweana
23302,LESA2,gardencress pepperweed,Lepidium sativum
23303,LESA26,Santa Monica dust lichen,Lepraria santamonicae
23304,LESA3,Jamaican babyboot orchid,Lepanthes sanguinea
23305,LESA4,Salina wildrye,Leymus salinus
23306,LESA5,old wood rimmed lichen,Lecanactis salicina
23307,LESA6,rim lichen,Lecanora salicicola
23308,LESA60,Saturn skin lichen,Leptogium saturninum
23309,LESA7,rim lichen,Lecanora saligna
23310,LESA8,rim lichen,Lecanora salina
23311,LESA9,rim lichen,Lecanora sambuci
23315,LESC,rough sprangletop,Leptochloa scabra
23316,LESC2,broom teatree,Leptospermum scoparium
23317,LESC3,Schinz's pepperweed,Lepidium schinzii
23318,LESC5,rim lichen,Lecanora scotopholis
23319,LESC6,lecidea lichen,Lecidea scrobiculata
23320,LESC7,lecidea lichen,Lecidea scrupulosa
23321,LESC8,lecidella lichen,Lecidella scabra
23322,LESCU,lescuraea moss,Lescuraea Schimp.
23323,LESE,sessile bladderpod,Lesquerella sessilis
23324,LESE10,sessile skin lichen,Leptogium sessile
23325,LESE14,wildrye,Leymus secalinus
23326,LESE17,northern linanthus,Leptosiphon septentrionalis
23327,LESE18,Madera linanthus,Leptosiphon serrulatus
23328,LESE2,mountain babyboot orchid,Lepanthes selenitepala
23329,LESE3,sawtooth lewisia,Lewisia serrata
23330,LESE4,anaunau,Lepidium serra
23331,LESE6,giantdaisy,Leucanthemella serotina
23332,LESE7,pineland pinweed,Lechea sessiliflora
23333,LESE9,rim lichen,Lecanora semitensis
23335,LESH3,Shasta lecania lichen,Lecania shastensis
23336,LESH4,Sharp's leptohymenium moss,Leptohymenium sharpii
23337,LESI,honeyweed,Leonurus sibiricus
23338,LESI2,lespedeza,Lespedeza ×simulata
23339,LESI4,rim lichen,Lecanora sipeana
23340,LESI5,alkali wildrye,Leymus simplex
23341,LESI6,lecidea lichen,Lecidea silacea
23342,LESKE,leskea moss,Leskea Hedw.
23343,LESKE2,leskeella,Leskeella (Limpr.)
23344,LESM2,Smith's leptodon moss,Leptodon smithii
23345,LESO,sordid pepperweed,Lepidium sordidum
23346,LESO3,rim lichen,Lecanora sophodopsella
23347,LESO4,lecidea lichen,Lecidea somphoterella
23348,LESO5,lecidea lichen,Lecidea soredifera
23349,LESO6,leioderma lichen,Leioderma sorediatum
23350,LESP,petiteplant,Lepuropetalon spathulatum
23351,LESP2,European Venus' looking glass,Legousia speculum-veneris
23352,LESP5,lecidea lichen,Lecidea sphaerella
23353,LESPE,lespedeza,Lespedeza Michx.
23354,LESQ,California broomsage,Lepidospartum squamatum
23355,LESQU,bladderpod,Lesquerella S.
23356,LESSI,lessingia,Lessingia Cham.
23357,LEST,prairie pinweed,Lechea stricta
23358,LEST10,rim lichen,Lecanora stenospora
23359,LEST11,rim lichen,Lecanora straminea
23360,LEST12,rim lichen,Lecanora strobilina
23361,LEST13,Steiner's lecidea lichen,Lecidea steineri
23362,LEST14,lecidella lichen,Lecidella stigmatea
23363,LEST15,stipitate skin lichen,Leptogium stipitatum
23364,LEST2,upright pepperweed,Lepidium strictum
23365,LEST5,tall lespedeza,Lespedeza stuevei
23366,LEST6,Stebbins' lewisia,Lewisia stebbinsii
23367,LEST7,cedar gladecress,Leavenworthia stylosa
23368,LEST8,Stone River bladderpod,Lesquerella stonensis
23369,LESU,parasol bladderpod,Lesquerella subumbellata
23370,LESU10,rim lichen,Lecanora subrugosa
23371,LESU11,lecidea lichen,Lecidea subaglaea
23372,LESU12,lecidea lichen,Lecidea subcandida
23373,LESU13,lecidea lichen,Lecidea sublimosa
23374,LESU14,lecidea lichen,Lecidea subplebeja
23375,LESU15,lecidea lichen,Lecidea subramosa
23376,LESU16,lecidea lichen,Lecidea subrhagadiella
23377,LESU17,lecidea lichen,Lecidea subtilis
23378,LESU19,lecidella lichen,Lecidella subauriculata
23379,LESU37,Jamaican lellingeria,Lellingeria suspensa
23380,LESU4,lecania lichen,Lecania subcaesia
23381,LESU49,daisy,Leucanthemum ×superbum
23382,LESU5,lecania lichen,Lecania subdispersa
23383,LESU6,rim lichen,Lecanora subaurea
23384,LESU60,mealy lichen,Leprocaulon subalbicans
23385,LESU7,rim lichen,Lecanora subcarnea
23386,LESU8,rim lichen,Lecanora subimmergens
23387,LESU9,rim lichen,Lecanora subintricata
23388,LESY,rim lichen,Lecanora symmicta
23389,LETA,lesser hawkbit,Leontodon taraxacoides
23392,LETE,narrowleaf pinweed,Lechea tenuifolia
23393,LETE10,lecidea lichen,Lecidea tenayucae
23394,LETE11,lecidea lichen,Lecidea tenuissima
23395,LETE12,skin lichen,Leptogium tenuissimum
23396,LETE13,terete skin lichen,Leptogium teretiusculum
23397,LETE2,Texas lespedeza,Lespedeza texana
23398,LETE3,Moapa bladderpod,Lesquerella tenella
23399,LETE4,coastal stonecrop,Lenophyllum texanum
23400,LETE60,lecidea lichen,Lecidea tessellata
23401,LETE8,spring lessingia,Lessingia tenuis
23402,LETE9,Texas rim lichen,Lecanora texana
23404,LETH2,Thurber's pepperweed,Lepidium thurberi
23405,LETH3,Zapata bladderpod,Lesquerella thamnophila
23406,LETH4,Thunberg's lespedeza,Lespedeza thunbergii
23407,LETH6,weeping fern,Lepisorus thunbergianus
23408,LETH7,rim lichen,Lecanora thallophila
23409,LETH8,Thomson's rim lichen,Lecanora thomsonii
23410,LETH9,Ted's lecidea lichen,Lecidea theodori
23411,LETHA,wolf lichen,Letharia (Th.
23412,LETHA2,lethariicola lichen,Lethariicola Grummann
23413,LETO,necklace gladecress,Leavenworthia torulosa
23414,LETO2,piedmont pinweed,Lechea torreyi
23415,LETO5,lecania lichen,Lecania toninioides
23416,LETO6,torrid rim lichen,Lecanora torrida
23417,LETO7,lecidea lichen,Lecidea torquens
23418,LETR,star duckweed,Lemna trisulca
23419,LETR2,threeleaf lewisia,Lewisia triphylla
23420,LETR4,lepiniopsis,Lepiniopsis trilocularis
23421,LETR5,beardless wildrye,Leymus triticoides
23422,LETR7,rim lichen,Lecanora tristiuscula
23423,LETR8,Truckee lecidea lichen,Lecidea truckeei
23424,LETRO,letrouitia lichen,Letrouitia Hafellner
23425,LETU2,turion duckweed,Lemna turionifera
23426,LETU3,lecania lichen,Lecania turicensis
23427,LETU7,White Bluffs bladderpod,Lesquerella tuplashensis
23428,LEUC,wildrye,Leymus ×uclueletensis
23429,LEUCA,leadtree,Leucaena Benth.
23430,LEUCA3,leucas,Leucas R.
23431,LEUCA4,daisy,Leucanthemum Mill.
23432,LEUCA5,leucanthemella,Leucanthemella Tzvelev
23433,LEUCI,marsh elder,Leuciva Rydb.
23434,LEUCO,starlily,Leucocrinum Nutt.
23435,LEUCO10,leucodon moss,Leucodon Schwägr.
23436,LEUCO11,leucolepis umbrella moss,Leucolepis Lindb.
23437,LEUCO12,spike fescue,Leucopoa Griseb.
23438,LEUCO13,leucospermum,Leucospermum R.
23439,LEUCO2,snowflake,Leucojum L.
23440,LEUCO20,white thatch palm,Leucothrinax C.Lewis
23441,LEUCO3,barometerbush,Leucophyllum Bonpl.
23442,LEUCO4,leucospora,Leucospora Nutt.
23443,LEUCO5,doghobble,Leucothoe D.
23444,LEUCO7,leucophysalis,Leucophysalis Rydb.
23445,LEUCO9,leucobryum moss,Leucobryum Hampe
23446,LEUM2,rim lichen,Lecanora umbrina
23447,LEUM3,rim lichen,Lecanora umbrosa
23448,LEUM4,lecidea lichen,Lecidea umbonata
23449,LEUM5,lempholemma lichen,Lempholemma umbella
23450,LEUN,Michaux's gladecress,Leavenworthia uniflora
23451,LEUT,Utah bladderpod,Lesquerella utahensis
23452,LEUT2,Utah rim lichen,Lecanora utahensis
23453,LEVA,valdivia duckweed,Lemna valdiviana
23454,LEVA2,strong bladderpod,Lesquerella valida
23455,LEVA3,wildrye,Leymus ×vancouverensis
23456,LEVA4,rim lichen,Lecanora valesiaca
23457,LEVA5,rim lichen,Lecanora varia
23458,LEVE,Puerto Rico babyboot orchid,Lepanthes veleziana
23459,LEVE3,spring snowflake,Leucojum vernum
23460,LEVE5,rim lichen,Lecanora vegae
23461,LEVE6,lempholemma lichen,Lempholemma vesiculiferum
23464,LEVI10,limestone grass,Leptochloopsis virgata
23465,LEVI15,rim lichen,Lecanora viriduloflava
23466,LEVI16,lecidea lichen,Lecidea violascens
23467,LEVI17,Virginia lecidea lichen,Lecidea virginiensis
23468,LEVI18,lecidella lichen,Lecidella viridans
23469,LEVI2,whitegrass,Leersia virginica
23470,LEVI22,Uncompahgre bladderpod,Lesquerella vicina
23471,LEVI3,Virginia pepperweed,Lepidium virginicum
23472,LEVI4,Judd's grass,Leptochloa virgata
23473,LEVI5,sticky sprangletop,Leptochloa viscida
23474,LEVI6,violet lespedeza,Lespedeza violacea
23475,LEVI7,slender lespedeza,Lespedeza virginica
23476,LEVI8,wand lessingia,Lessingia virgata
23477,LEVI80,wand lespedeza,Lespedeza virgata
23483,LEVIS,levisticum,Levisticum Hill
23486,LEVO,Vouaux's leproloma lichen,Leproloma vouauxii
23487,LEVU,oxeye daisy,Leucanthemum vulgare
23488,LEVU2,wolf lichen,Letharia vulpina
23489,LEVU3,letrouitia lichen,Letrouitia vulpina
23490,LEWA2,Ward's bladderpod,Lesquerella wardii
23491,LEWE,Weber's rim lichen,Lecanora weberi
23492,LEWH,lewisia,Lewisia ×whiteae
23493,LEWI,Willey's rim lichen,Lecanora willeyi
23494,LEWI2,Wisconsin rim lichen,Lecanora wisconsinensis
23495,LEWIS,lewisia,Lewisia Pursh
23496,LEWO,Woodbury's babyboot orchid,Lepanthes woodburyana
23497,LEWU,Wulfen's lecidella lichen,Lecidella wulfenii
23498,LEXA,rim lichen,Lecanora xanthosora
23499,LEXA2,lecidea lichen,Lecidea xanthococcoides
23500,LEYCE,leycesteria,Leycesteria Wall.
23501,LEYDE,hybrid ryegrass,×Leydeum Barkworth
23502,LEYMU,wildrye,Leymus Hochst.
23503,LEZA2,paradise nut,Lecythis zabucajo
23504,LEZO,Zoster's rim lichen,Lecanora zosterae
23505,LEZY,cimmeron,Leucophyllum zygophyllum
23506,LIAC,sharp blazing star,Liatris acidota
23507,LIAC2,Owyhee mudwort,Limosella acaulis
23508,LIAC5,Indian woodapple,Limonia acidissima
23509,LIAE,pondspice,Litsea aestivalis
23510,LIAE2,roadside toadflax,Linaria aeruginea
23511,LIAE3,blazing star,Liatris aestivalis
23512,LIAF,San Francisco woodland-star,Lithophragma affine
23515,LIAL,bushy lippia,Lippia alba
23516,LIAL2,winged flax,Linum alatum
23517,LIAL3,white meadowfoam,Limnanthes alba
23518,LIAL5,lichenosticta lichen,Lichenosticta alcicornaria
23521,LIAM,Amur privet,Ligustrum amurense
23522,LIAM6,American lichinella lichen,Lichinella americana
23523,LIAN10,Italian toadflax,Linaria angustissima
23524,LIAN5,sparrow false pimpernel,Lindernia antipoda
23525,LIAP,celeryleaf licorice-root,Ligusticum apiifolium
23526,LIAQ,water mudwort,Limosella aquatica
23527,LIAR,Ozark grass,Limnodea arkansana
23528,LIAR10,tree limonium,Limonium arborescens
23529,LIAR11,limnophila,Limnophila aromatica
23530,LIAR2,sanddune linanthus,Linanthus arenicola
23531,LIAR3,bristle flax,Linum aristatum
23532,LIAR5,sand flax,Linum arenicola
23533,LIAR6,awned halfchaff sedge,Lipocarpha aristulata
23534,LIAR9,licania,Licania arborea
23535,LIAS,tall blazing star,Liatris aspera
23539,LIATR,blazing star,Liatris Gaertn.
23540,LIAU2,auricled twayblade,Listera auriculata
